time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-15 00:00:00+00:00,1,1,10,3
2022-11-17 00:00:00+00:00,18,13,6,5
2022-11-18 00:00:00+00:00,69,29,23,11
2022-11-19 00:00:00+00:00,70,34,24,14
2022-11-20 00:00:00+00:00,67,28,9,5
2022-11-21 00:00:00+00:00,26,16,8,3
2022-11-22 00:00:00+00:00,4,4,26,8
2022-11-23 00:00:00+00:00,9,9,110,56
2022-11-24 00:00:00+00:00,69,34,38,26
2022-11-25 00:00:00+00:00,70,32,27,19
2022-11-26 00:00:00+00:00,66,29,33,15
2022-11-27 00:00:00+00:00,65,28,5,4
2022-11-28 00:00:00+00:00,21,18,30,16
2022-11-29 00:00:00+00:00,58,33,21,13
2022-11-30 00:00:00+00:00,71,37,6,6
2022-12-01 00:00:00+00:00,18,15,3,3
2022-12-02 00:00:00+00:00,0,0,22,5
2022-12-03 00:00:00+00:00,0,0,1,1
2022-12-04 00:00:00+00:00,0,0,2,2
2022-12-05 00:00:00+00:00,1,1,9,2
2022-12-06 00:00:00+00:00,2,1,2,1
2022-12-07 00:00:00+00:00,4,2,1,1
2022-12-09 00:00:00+00:00,1,1,2,2
2022-12-10 00:00:00+00:00,50,28,0,0
2022-12-11 00:00:00+00:00,63,28,0,0
2022-12-12 00:00:00+00:00,53,35,0,0
2022-12-13 00:00:00+00:00,122,52,27,5
2022-12-14 00:00:00+00:00,172,80,13,6
2022-12-15 00:00:00+00:00,109,57,0,0
2022-12-16 00:00:00+00:00,72,46,1,1
2022-12-17 00:00:00+00:00,69,41,0,0
2022-12-18 00:00:00+00:00,67,42,1,1
2022-12-19 00:00:00+00:00,62,42,0,0
2022-12-20 00:00:00+00:00,65,40,2,1
2022-12-21 00:00:00+00:00,68,43,0,0
2022-12-22 00:00:00+00:00,108,69,0,0
2022-12-23 00:00:00+00:00,30,24,2,1
2022-12-24 00:00:00+00:00,62,42,8,2
2022-12-25 00:00:00+00:00,63,39,2,2
2022-12-26 00:00:00+00:00,21,19,1,1
2022-12-27 00:00:00+00:00,19,16,6,2
2022-12-28 00:00:00+00:00,67,44,3,2
2022-12-29 00:00:00+00:00,62,31,5,3
2022-12-30 00:00:00+00:00,67,38,16,5
2022-12-31 00:00:00+00:00,67,37,0,0
2023-01-01 00:00:00+00:00,64,36,4,3
2023-01-02 00:00:00+00:00,21,17,7,4
2023-01-03 00:00:00+00:00,12,6,5,4
2023-01-04 00:00:00+00:00,1,1,5,1
2023-01-05 00:00:00+00:00,0,0,3,3
2023-01-06 00:00:00+00:00,1,1,0,0
2023-01-07 00:00:00+00:00,0,0,4,1
2023-01-08 00:00:00+00:00,0,0,1,1
2023-01-09 00:00:00+00:00,35,28,2,2
2023-01-10 00:00:00+00:00,65,44,0,0
